,sender,text
110219,JZ-JioPay,???? ???? ???? ???? 9300701407  ??? ?????? ??? ????? ??????? 1 GB ?? 90% ????? 08-Jun-18 00:02 Hrs ?? ?? ???? ??| ??????? 1 GB ?? ????? ?? ???? ?? ???? ?????? ????? ?? ?? ???? ?? ??????? ????? ?? ?? ?????| 4G ????? ?? ???? ???? ???? ???? ?? ??? ??? ??????? ????| ??????? ?? ??? ????? ???? http://tiny.jio.com/BuyData
770192,AX-ICICIB,"Dear Customer,txn of INR 460.00 done via Debit Card of Acct XX0113 on 08-Jun-18.Info: VPS*JAJU SHE AN.Avbl Bal:INR 7,998.49.For dispute,call 04033667777."
254908,IMBAJAJF,"Dear Customer, Your EMI for loan a/c no.400DPF66420572 has bounced on 02-05-2018. Please fund your Bank A/c today. EMI will be presented again on 05-05-2018. Avoid Rs.450 Bounce Charges. Regards, Bajaj Finserv"
408990,VK-TTSAVE,Introducing Axis ASAP instant savings A/C that gives you higher FD interest rates. No min balance required.  Apply Instantly http://nsm.sg/6S9g5l *T&C apply
297931,IM-DTHVID,"Exclusive offer for your d2h a/c 180166713. Recharge for Rs300 & above using Paytm & Enjoy Rs50 Cashback.Promo code:D2H50.To pay, click vd2h.com/Q10Jxvw"
315032,VK-EKARTL,"Arriving Early: HAANS Typhoon Gym Shak... with tracking ID FMPC0321878660 from flipkart.com, will be delivered before 7pm today by an EKART Wish Master (call 07961730005, PIN 126). Please pay Rs.109.0 by cash or card."
571708,HP-FCHRGE,FreeCharge offer! Get Rs.40 cashback on min. Recharge/DTH/Bill of Rs.40.Use code FJ40 for doonvlley2007@gmail.com. Offer valid till 16 Feb. frch.in/F
360002,IZ-IDEA,"Data_CHRG:0.00 INR, Bal_Left=0.00 INR, PrivilegeADDON Vol_Used:56.437500 MB, Pack_exp:Jun 27 2018, Base Vol_Used:0.000000 MB"
159776,BW-PAYZAP,"Enjoy 'Jurassic World' this weekend & get up to Rs. 250 CashBack!To avail,book tickets via PayZapp on BookMyShow. Use Code: BINGOKnow more: bit.ly/BMSPZP *T&C"
155268,IA-IDEA,"Friends 55365    CHRG:,Free Vol KB:1218.00,VOL:1217.77 KB,BAL_LEFT:,main Rs 0.000,Free Vol KB:649445.00,Exp:2018-06-11"
457880,VK-ICICIB,Hi! You need an OTP for your transaction initiated on Pockets. DO NOT SHARE THE OTP WITH ANYONE. BANK NEVER CALLS TO VERIFY IT. The OTP is 961736
766808,AX-IDFCBK,"You have made a purchase for Rs. 1,000.00 on 06/06/18 on AMAZON PAY INDIA PRIVA using IDFC Debit Card. New balance is 2,094.30. For raising a dispute, Please call 1800 419 4332."
560978,ERecharge,"Recharge done on 18-06-2017 11:54AM,MRP:Rs25.00,STax:Rs3.26,TransID1377642855.FULL Month Internet! Dial *567*29#"
589524,AX-HDFCBK,Rs.1500.00 was withdrawn using your HDFC Bank Card ending 0225 on 2018-06-07:16:34:24 at +SIB SATHYAM HEIGHTS. Avl bal: Rs.3373.23
784697,VM-BAJAJF,"Greetings! EMI of Rs.3,000/- for Loan 404ECF50099988 is due on 05-MAR-18. Keep your ICICI Bank A/C 4968 funded to avoid bounce penal and overdue charges."
330346,ADBENFIT,Why use a 3.5% bank a/c when you can get upto 7.1% interest? Introducing Axis ASAP! Open an instant a/c using Aadhaar & PAN no. http://nmc.sg/fJ3xLK *T&C
550661,AM-eBayIN,"Dear Member, your action require on eBay Guarantee claim 3311461: Please upload clear images of the item received via http://goo.gl/puFyYt within 48 hrs. To expedite processing, provide your contact details at the site, follow by giving a missed call at 9212443182. Ignore this message if you've already done so."
481182,AXSBIDGT,Your SBI Debit Card ending with 3598 has been unblocked on 28-05-18 at 12:35 at your request. Plz contact Bank immediately if not initiated by you
100319,AXKRAZYB,"Get upto Rs.500 cashback. Purchase anything on Amazon via KrazyBee, pay later. Valid until 30 April. Hurry, visit http://nsm.sg/6N5enn now!"
17741,VD-VFCARE,Apka aaj ka 50%  Data khatam ho gaya hai aur raat ko reset hoga. Data ke liye dial *121#.Apne unlimited pack khatam hone se pehley recharge kare. Vodafone
380988,JE-JioPay,"You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 7780792271 as of 08-Jun-18 00:40 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo?. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
98126,AX-VLCCPC,Flat 50% Cashback on all VLCC Products. Earn loyalty points & Redeem while you pay. Offer Ending Soon! Buy Now: https://goo.gl/gDTiiQ
723626,VM-VFCARE,"Hello, your daily data pack has been renewed.Watch movies, live TV or international shows on Vodafone Play http://bit.ly/2lR3DXQ"
273497,TM-CITIBK,Transaction on your Citi credit card 4386XXXXXXXX4600 is declined due to non receipt of payment.
710652,TM-JustDl,Name:Sreelakshmi k Mobile No:9747044539 Email Id:sree.k.094@gmail.com Comments:Details about hostel fee  This email is generated from an online request made by the above said user on Justdial.com   Best Regards  Team Justdial
628920,DM-OLACAB,"Please pay bill amount of Rs. 104 in cash for your Ola ride, served by Nafeesul."
227168,BP-BKDENA,Amount of Rs. 123.6 is debited from A/C XXXX8408 being txn done through POS on date 04-06-2018 Available Clear Bal is Rs. 499645.64
563464,VM-VFCARE,"Hello, your daily data pack has been renewed.Watch movies, live TV or international shows on Vodafone Play http://bit.ly/2lR3DXQ"
456539,JZ-JioPay,"You have used 90% of your daily 2 GB high speed internet quota on your Jio Number 7972177527 as of 08-Jun-18 00:48 Hrs. After consumption of 2 GB data, internet speed will be reduced in case you do not have any active data plan. Click http://tiny.jio.com/DataBooster to recharge with data booster and continue enjoying high speed internet. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
335069,VM-SBIUPI,"Dear SBI UPI User, your account is debited INR 52.0 on Date 2018-06-08 12:32:52 AM by UPI Ref No 815900709526.Download YONO @ www.yonosbi.com"
126325,HP-WSHNET,"Dear dipankar1_sst,Your service will expire on 10-JUN-18.Please renew your service before expiry date."
683465,ADBAJAJF,"Greetings! EMI of Rs.1,556 for loan a/c no.U25ECF63710948 is due on 02/06/18. Keep SBI a/c ending with 3517 funded 3 days in advance to avoid bounce charges. Link your AADHAAR number with your loan account. Click here http://bit.ly/2ElHzlz to update now. Regards,Bajaj Finserv"
197502,JK-JioPay,"You have consumed 50% of your 153.6 MB Data from MRP 19 on your Jio Number 7780339762 as of 27-May-18 00:00 Hrs. Your available data balance is 66.06 MB valid till 27-May-18 22:40 Hrs. To manage your account with MyJio app, click http://tiny.jio.com/MyJioApp . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
96569,AX-PHONPE,You've received Rs.100 from Jiten Prakash Dubey via PhonePe into your Axis Bank a/c.
441992,JE-JioPay,"You have used 50% of your 1.5 GB daily high speed data quota on your Jio Number 7048990735 as of 23-May-18 20:30 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
566520,VY-VDFONE,Welcome to Vodafone UP West. Now ROAM LIKE HOME! Get home rates across India with our NEW Roam like Home pack .n++ Dial *121*121# to know more.
653379,VMVFCARE,"Hello, your daily data pack has been renewed.Watch movies, live TV or international shows on Vodafone Play http://bit.ly/2lR3DXQ"
319889,VM-ICICIB,"Dear Customer, acct XX0671 has been debited for Rs500.00 on 09-Apr-18 and Acct XX8105 is credited. UPI Ref no 809920657432."
445744,IA-IDEA,"RC449-114GB + Unlimited Loc/STD/Roaming Calls + 100SMS/D-82 Days. Hurry! Recharge Today!CHRG:,main_cost Rs 0.000,VOL:0.00 KB,BAL_LEFT:,main Rs 10.518"
567504,IZEKYCIDEA,"Your Re-verification request has been initiated. Please reply RV Y to 12345 to proceed further or RV N to 12345 to reject your reverification request. If you don't respond in 3 hours, your request shall be auto-processed"
366003,IX-SWIGGY,Payment Alert : Your payment for order #11473644330 was not completed. It will take us upto 15 minutes to confirm your payment. Sorry for the inconvenience.
730746,AD-PAYBAK,Instant discount up to Rs.1500 on all flights. Use code FLY1500 on goomo.com + Enter PAYBACK PIN and earn 2 Points/ Rs100 spent. Book now http://vls.bz/r5NtocEFMa
397841,AMHDFCBK,Thank you for using Debit Card ending 0319 for Rs.28.00 in NOIDA at ONE97 COMMUNICATIONS LIMI on 2017-05-31:21:11:29  Avl bal: Rs.11513.55
383906,JE-JioPay,"???? ????? 1.5 GB ?? ?????? ????? ??????? ??? ???????  ????? ??? ????? 7908694164 ? 07-Apr-18 08:44 Hrs ?????.????? ????????? ? ????? ??????? ???? ???? ?? ??? 1299 ? .?? ??? ??????? ??????? ????? ??? ???????? ????? ????? ????? ???? http://tiny.jio.com/MyJioVideo. ????? ???? 1991 ????? ??????? ????????? , ????? , ????????? ???? ???? ? ???????? ??????? ????????? ????"
314831,VM-PHONPE,61665 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone.
802628,JK-JIOINF,?? ??? ??????  7003089339  ????? ??????? ?? ????? ??? ??? ?????? ???? .??????? ????? ??? ???? ??? ??????? ?? ??? ?? . ????? ????   http://jio.com/r/zIeINxWF ???? ????????? ??? ???????  ?? ???? ??? ????
140382,IA-IDEA,"RC449-114GB + Unlimited Loc/STD/Roaming Calls + 100SMS/D-82 Days. Hurry! Recharge Today!CHRG:,main_cost Rs 0.000,VOL:0.00 KB,BAL_LEFT:,main Rs 4.470
56161940,Your WhatsApp code: 743-097You can also tap on this link to verify your phone: v.whatsapp.com/743097Don't share this code with others"
542213,AX-KTKBNK,"x016455x CREDITED for Rs.66.00/- 253-KARTHIK PAI-9485187861-KMB- Balance is Rs.31,971.48(30/04/2018:17:10:35)"
737360,MD-CAPFST,"DA number for loan id 0300425189 has been successfully generated and delivered by email. Thanks, Capital First;"
337109,Vodafone,Dear TOHASIF MULLA Apka FTD Primary TGT Etop|Paper|Total Tgt (In Lacs)- 32.39|1.95|34.33. Aur FTD Total Ach hai 0.4|0|0.4.
172934,VM-DELVRY,"Delhivery: Your shipment (Premium Business Car..) has been delivered. Please rate us on: http://cfb.delhivery.com/?tid=EwEywywDzyww
50404,?????? ???????? ???????? ????? A)Lakshmi Menon B)Simran. Reply A/B & Win Rs.100 Recharge."
251389,VM-FROMSC,"Dear Customer, please update your Aadhaar Number by 31 Mar '18 to avoid restrictions on your StanChart account/card. Click https://goo.gl/Tn1umh to update your Aadhaar number at the click of a button. We will authenticate the Aadhaar number with UIDAI  & keep you updated on the status. Kindly ignore the message if you have updated your aadhaar number with StanChart
VT-611123,Vodafone Long Validity offer Recharge with MRP 509 and get UNLIMITED calling and 1.4 GB data everyday for 90 days. Recharge Now with Rs.509"
204360,VM-iPaytm," 637272  is your Paytm code. By providing this code to our agent, you agree to become a full KYC customer of Paytm Payments Bank and confirm acceptance to the Bank's terms and Conditions including issuance of mobile wallet. There are no charges for this service."
566800,BW-ICICIB,"Dear Customer, your Account XX0589 has been credited with INR 5,000.00 on 07-Jun-18. Info: MMT*815823320997*9172829931. The Available Balance is INR 18,175.41."
509117,JK-JioPay,"You have exhausted 100% of your high speed internet quota from Data account of MRP 399 on your Jio Number 7000366840 as of 08-Jun-18 01:02 Hrs. Internet speed will be reduced in case you do not have any active data plan. Click http://tiny.jio.com/DataBooster to recharge with data booster and continue enjoying high speed internet. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
52141,Rs10 credited to your airtel a/c. Rs13 will be deducted anytime after 10-Jun-18 9AM.Reply with 1 to activate Auto Credit.FREE 5GB Data! Click airtel.in/5/loan"
136522,VM-RBLBNK,"Dear Rad, Transfer of Rs.3000 to nikam vina has been successful with REF No:LDEX7TJ"
35247,VK-PNBSMS,A/c XXXXXXXX00024817 has been debited with Rs.500 on 09-01-2018 22:53:40 thru ATM/UPI. Helpline 18001802222
318047,VK-UCSIND,[#] Hi from Uber! Enter 9504 to confirm your mobile number. qlRnn4A1sbt
272201,AD-AxisBk,Hello! Your A/c no. 261078 has been debited by Rs. 10000 on 24May18. The A/c balance is Rs. 58809.73.Info: INB/577566128/UPSTOX TPV(RAZORPAY)/91101
177344,UW-DIGITL,"Get unlimited Local + STD calls for 84 days at Rs 299 only! Only at Telenor Site: bit.ly/TelenorULP T&C
57575751,[#] Use 410949 as your login code for musical.ly. (Account Kit by Facebook) fJpzQvK2eu1
50350337,Sachin, Anne Voloso commented on a post: https://fb.com/l/1FZKIXF39gbqbSU
UW-650001,Sirf Rs 12 main 8 ka free talk time+1p/2s sabhi local + STD calls pure 90 din.Sabse Saste offer ke liye dial *121#
UW-650001,!!Unlimited Calls + Unlimited Data!!1)STV195 = Unltd L+ S Calls + 1.5GB 2G/4G Data/Day 28D;Fup apply.2)STV143 = Unltd L+ S Calls + 2GB 4G Data 28D;Fup apply.
UW-650001,SUNEHRA MAUKA AB PAAYEIN 2GB INTERNET Rs29 MEIN. Rs29=200MB 4G 7D + 1.8GB 2G 28Days (Extra Data) VALID TODAY
UW-650197,Sirf Rs 12 main 8 ka free talk time+1p/2s sabhi local + STD calls pure 90 din.Sabse Saste offer ke liye dial *121#"
215698,AD-UnionB,Your SB A/c **********14671 is debited for Rs. 200 on 31-05-2018 by ATM. Avbl Bal Rs:6505.22
97025,JE-JioPay,"You have used 50% of your 1.5 GB daily high speed data quota on your Jio Number 9588068550 as of 02-Jun-18 21:03 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
50404,??? ?????? ??????? 100 ????, SONA ?? ?? ???? ??? ????, ??? 50404 ????"
493188,VC-VFCARE,"Data Alert! You have used 50% of your 3G/4G internet pack and have 713.63 MB left. Check your usage on MyVodafone App (www.vodafone.in/j1) or dial *111*2*2#
55655,Jeep Compass Car,bike mattu innu hecchina exciting prize galannu gelluva avakaasha nimmaddagisi.nimma preethiya kshana galannu romantic Callertune na jothe yavagalu nenapidalu type maadi ""Love""  haagu kalisiri 55655(Tollfree) ge.For Callertune app click http://hyperurl.co/ub"
111392,BW-AxisBk,"Hello, emitra@tjsb has requested you money. Please approve or reject the request using Tez UPI App."
405130,DM-BHRGOV,Your Application Id: TBSE_REG/2017/00393 for Shops and Establishment Act - Application for Registration Form 1 (rule 3) under Bihar Shops and Establishment Act is ready for Delivery.
465327,JZ-JioPay,"You have exhausted 100% of your high speed internet quota from Data account of MRP 448 on your Jio Number 7977763966 as of 24-May-18 19:20 Hrs. Internet speed will be reduced in case you do not have any active data plan.Click http://tiny.jio.com/DataPack to recharge with data booster and continue enjoying high speed internet. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
IM-612345,Aaj che offers129-UL L/N/R+28GB*-28DaysTnC
IM-612345,Exciting Music!! Free Data!! Amazing Artists and Offers!! All with One Click at bit.ly/2yzo5rI !! Dial *696*150# aur paaye Re 1 mein Dialer Tone!"
98841,ERecharge,"Recharge done on 08-06-2018 12:06AM,MRP:Rs199.00,GST 18% payable by Company/Distributor/Retailer:Rs30.36,TransID1929516187.To Check Your balance,validity,call trafiff and best recharges,dial *121*51# or download My Airtel App,click www.airtel.in/5/LBNV"
625514,VC-VFCARE,"Your daily data pack has been renewed Watch movies, live TV or international shows on Vodafone Play http://bit.ly/2lR3DXQ"
291851,JA-JioPay,"You have used 50% of your 1 GB daily high speed data quota on your Jio Number 8460686856 as of 25-Feb-18 16:44 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo"
297895,VK-iPaytm,Rs.310.00 paid to ARMAN MOFIALAM SHAIKH by 72XXXX1962 at 3:20 PM. Transaction id: 17647486988. Any concerns reach us at: 0120-33663377
70703,VM-SIBSMS,"Dear Customer, Your A/c XXXXX14027 is credited with Rs. 16000.00 Info: NEFT:SAMEER ABDUL SALAM. Final balance is Rs. 56146.47"
460413,AO-AIRTEL,ALERT: Beware of fraudulent calls asking you to do SIM Swap in the name of Aadhaar verification. Please do not share any OTP or send SIM <new SIM number> to 121 unless you have the physical SIM with you. This may lead to fraud/misuse of your mobile number.
699441,VD-VFCARE,"We have credited your daily 1GB 4G/3G pack. It gets renewed every midnight. Watch movies, live TV or international shows on Vodafone Play http://bit.ly/2lR3DXQ"
214653,VM-JMFNSL,"JMFS Technicals (Short Term) BUY NSEFUT HCLTECH MAR @ 950,955 SL 935 TGT 978,995 Refer Research disclaimers on www.jmfinancialservices.in"
329842,AX-ICICIB,"Dear Customer, acct XX9108 has been debited for Rs.3000.00 on 08-Jun-18 towards linked praveennayak205@oksbi. UPI Ref no 815900801591"
118568,BZ-iPaytm,"Received Rs.45 from 95XXXX2279. Txn id: 19194532257. Updated balance: Rs.87.8. For issues, reach us on 0120-33663377"
178573,JZ-JioSvc,Welcome to Jio-Punjab. Enjoy Free Incoming calls and Outgoing calls anywhere in India while roaming. 4G Data & SMS benefits will be as per your plan.
141874,VT-Vodafone,"While receiving international call if an Indian number or no number is displayed on your phone, please inform on toll free number 1800 110 420 / 1963"
662605,IM-BFCTRY,"BRANDFACTORY #SuperShoeSale 6-8 Apr!Reebok, Adidas Footwear upto Rs.4599@999! Valid on select styles, till stocks last in select stores http://bit.ly/BF-SSS T&C"
264081,ADHarkoi,"Nimma Nechina Mc No Luxury Cap scheme punaraarambavagidhe. 100% Dhanyadindha hagu 33% Adhika Samayadindha tayarisaladha MC Luxury yanu ee vara matthomme saveeiri hagu padeyiri Rs.10 mobile recharge
650001,Rs249=Unlimited Local,STD,Roaming calls+2GB/day+100(Local+National)SMS/day for 28 days.Non-commercial use.T&CFor Airtel best offers, missed call on 505
606361,Why track scores online when you can watch T20 Live Cricket  with Hotstar Subscription Free. Data charges apply as per Tariff plan. Click get.airtel.tv/t20"
691725,JA-JioPay,"You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 8208161842 as of 08-Jun-18 01:43 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo?. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
AA-650011,100% Cashback Update to latest version of My Airtel App & recharge with Rs399/448 to get coupons worth Rs400/450 on subsequent recharges www.airtel.in/5/cpn100"
123912,AD-PAYBAK,Thank u for trnsctng at BIG BAZAAR .U hv earned 11  PAYBACK Points.Use same card or mobileno. at any other partner to get 500 Pts| Activate http://bit.ly/FG_RTEAPR
113812,AD-MSWIPE,"FAILED INR 30,931.00 at M/s HYDERABAD BOOK dt 23/5/18 card xx3593, 55- 55 incorrect pin"
151993,BTENCRCL,"Raid Us! Flat 20% off on Fastrack Sunglasses + Extra 5% off just for u from Sept 1-3. Rush to your nearest Fastrack store.Ph: 020-30712443 . T&C. goo.gl/iaLWnG
IZ612345,Rs.357-Unlimited Local + STD Calls + 1GB/day for 28 Days. Rs.505-Unlimited Local + STD Calls + 1/day for 42 Days.
IZ612345,FREE 0.5GB internet(in 48 hr,Val:5d) with 90day FREE trial of Idea Game Spark. Download & Subscribe to free trial.TnC. Click link  http://m.onelink.me/120142fb
IZ612345,23% discount on Dialer Tones! Dial 5678921 & get Ganapati DT ONLY@Rs30/month. For more discounted Dialer Tones dial *696*65# Offer valid for limited period only"
88597,IM-CREDIT,"Presenting SimplyCLICK SBI Credit Card with exclusive benefits - Amazon GiftCard worth Rs.500, 10X Reward Points & more. Click http://nsm.sg/x59iz to apply"
450979,DM-SBIUPI,"Dear SBI UPI User, your account is debited INR 500.0 on Date 2017-12-18 01:37:01 PM by UPI Ref No 735213301427.Download YONO @ www.yonosbi.com"
316201,IM-TPDDLD,"We regret outage of Power Supply at CA no060021702612,restoration expected in 92 min.For further update pls download TPDDL Mobile App https://goo.gl/mEzASG"
448826,AD-AIRACT,ALERT:You have used 100% daily data limit.Continue with high speed internet on Airtel with extra 3GB(validity as per Unlimited Pack)at Rs49.Dial *567*48#
224065,BW-HDFCBK,Thank You for using your HDFC Bank Visa FoodPlus Card Card ending with XXXX4244 for INR 18 at MADRAS COFFEE HOUSE on 07-JUN-18 06:06 PM. Post txn Card Bal is INR 5351.
265857,MD-AxisBk,"Dear Customer, a discount of 0.75% will be applied to your recent fuel transaction of INR 1000 on Axis Bank Card ending **5104. Thank you."
27391,AN-AIRBNK,Hello! You have added Rs.30.00 in your Airtel Payments Bank wallet. Avl Bal Rs.30.00. Txn ID. 531247550
616393,AXOLACAB,"Your Ola account was logged into from a new deviceLogin: Ola Cabs android appTime: 11:10PM, 05 Jun 2018If you find this suspicious, secure your account by clicking here https://olaca.bs/TTUTLxN86T"
532519,JZ-JIONET,"Dear Customer, Download all premium Jio Apps in single click & get access to Live TV, Movies, Music, Magazines, News, Cloud storage & much more. Click now at https://www.Jio.com/GetMyJioThank you,Team Jio"
115031,AD-HDFCBK,"Update: New feature on your MoneyBack Credit Card!Now you'll get Rs.500 e-voucher on spending Rs.50,000/quarter. Know more: https://bit.ly/2mhi4XG"
105990,VK-NURSIG,"??????? ?????? 10-12 ???-????? Nursing Diploma, OT, GNM,MRI 9374437749"
442353,JA-JioPay,"You have used 90% of your daily 1 GB high speed internet quota on your Jio Number 7001314643 as of 08-Jun-18 00:50 Hrs. After consumption of 1 GB data, internet speed will be reduced in case you do not have any active data plan. Click http://tiny.jio.com/DataBooster to recharge with data booster and continue enjoying high speed internet. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
802665,JK-JIOINF,"Your plan for Jio no. 7003089339 expires on 22-07-2017. To continue enjoying Jio services, you need to recharge. Click http://jio.com/r/y4uc4N9b or visit your nearest Jio retailer."
221444,JX-JioPay,"08-Jun-18 00:20 Hrs ????????, ?????? ???? 9080583183 ??????? MRP 399 ????? ?????? ?????? ?????? 1.5 GB Data ?????? 50% ???????? ?????????? ???????????. ?????? ??????? ??????? ????????? ????????????? 1299 ????????? ?????? ???? ???????????. ?????? ????????? ?????? ??????? ????? ?????? ????????????? http://tiny.jio.com/MyJioVideo ?????? ?????????. ?????? ??????? ???????, ??????????, ?????? ????????? ??????? ??????????????? ?????????? ????? ????????????? 1991 (???? ???) ? ???? ?????????"
33249,IK-INDANE,"Your cyl is delivered with cash memo no.3000147447.You may also book and pay for future refills online, through our web portal www.indane.co.in."
35824,JD-JioPay,"You have used 50% of your 2 GB daily high speed data quota on your Jio Number 8200763347 as of 19-May-18 16:10 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
130503,JX-JioPay,"You have used 50% of your 2 GB daily high speed internet quota on your Jio Number 9601537057 as of 08-Jun-18 00:10 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo?. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
IM-501105,Bajaj Finserv:This Festive Season bring home latest AC/LED/Fridge & more. Buy on EMI with PreApproved limit of 50000. Click http://m.bflsms.in/MEMOlJ20 TC"
697993,BP-BSNLIN,Your 50 percent data has been used.
15479,VKIPAYTM,Use 199140 as your login OTP. OTP is confidential. Paytm never calls you asking for OTP. Sharing it with anyone gives them full access to your Paytm Wallet.
774670,AD-AIRDRL,"Dear Customer,120.05GB unused data from the previous months has been added to your current month data quota. Check data available or track usage using My Airtel App. Click www.airtel.in/5/DataUse
509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question
JD-509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question"
763197,VK-iPaytm,Use 665292 as your login OTP. OTP is confidential. Paytm never calls you asking for OTP. Sharing it with anyone gives them full access to your Paytm Wallet.
491559,JZ-JioPay,"You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 6351281352 as of 08-Jun-18 00:45 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo?. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
58552,JD-JIOINF,"Your plan for Jio no. 7888512626 expires TODAY. Services will be disrupted if not recharged. To recharge, click http://jio.com/r/zwdVmWU6 or visit your nearest Jio retailer."
506898,IX-EKARTL,"Out for Delivery: Macroman M-Series Mens... with tracking ID FMPC0307228434 from flipkart.com, will be delivered before 7pm today by an EKART Wish Master (call 07890017951, PIN 146). Please pay Rs.240.0 by cash only."
